Species,Virus name,Isolate,Accession,Available sequence,Abbrev
Horsegram yellow mosaic virus,horsegram yellow mosaic virus,India/Coimbatore,DNA-A: AJ627904;DNA-B: AJ627905,Complete genome,HgYMV
Hybanthus yellow mosaic virus,Hybanthus yellow mosaic virus,CO-Valle-14,DNA-A: KX156609;DNA-B: KX156610,Complete genome,HybYMV
Indian cassava mosaic virus,Indian cassava mosaic virus,India/Trivandrum/1986/India,DNA-A: Z24758;DNA-B: Z24759,Complete genome,ICMV/IN
Indian cassava mosaic virus,Indian cassava mosaic virus,India/Maharashtra/2009,DNA-A: JF496657,Complete genome,ICMV
Indian cassava mosaic virus,Indian cassava mosaic virus,India/Dhawad/2008/Jatropha,DNA-A: GQ924760;DNA-B: GQ924761,Complete genome,ICMV/Jat
Indian cassava mosaic virus,Indian cassava mosaic virus,India/Kerala 2/2002/Kerala,DNA-A: AJ575819,Complete genome,ICMV/Ker
Jacquemontia mosaic Yucatan virus,Jacquemontia mosaic Yucatan virus,Mexico/Yucatan/2007,DNA-A: JQ821386;DNA-B: JQ821387,Complete genome,JacMYuV
Jacquemontia yellow mosaic virus,Jacquemontia yellow mosaic virus,Venezuela-RC1250-09,DNA-A: KF661331;DNA-B: KF661332,Complete genome,JacYMV
Jacquemontia yellow vein virus,Jacquemontia yellow vein virus,VE-Zu 1915_1-10,DNA-A: KY617094;DNA-B: KY617095,Complete genome,JacYVV
Jatropha leaf curl Gujarat virus,Jatropha leaf curl Gujarat virus,India-Gujarat-2013,KM411359,Complete genome,JLCGV
Jatropha leaf curl virus,Jatropha leaf curl virus,India/New Delhi/2007/New Delhi,DNA-A: EU798996,Complete genome,JLCuV/ND
Jatropha leaf curl virus,Jatropha leaf curl virus,India/Gujarat/2009,DNA-A: GU451249,Complete genome,JLCuV/Gu
Jatropha leaf yellow mosaic virus,Jatropha leaf yellow mosaic virus,India-Katerniaghat2-2011,DNA-A: JN698954,Complete genome,JLYMV
Jatropha mosaic India virus,Jatropha mosaic India virus,India/Lucknow/2009,DNA-A: HM230683,Complete genome,JMINV
Jatropha mosaic Nigeria virus,Jatropha mosaic Nigeria virus,Nigeria/2/2011,DNA-A: JX025358,Complete genome,JMNV
Jatropha mosaic virus,Jatropha mosaic virus,Jamaica/Spanish Town 1/2004,DNA-A: KF723258;DNA-B: KF723261,Complete genome,JMV
Jatropha yellow mosaic virus,Jatropha yellow mosaic virus,India/Kathaupahadi/2008,DNA-A: FJ177030,Complete genome,JYMV
Kudzu mosaic virus,kudzu mosaic virus,Vietnam/Hoabinh/2005,DNA-A: DQ641690;DNA-B: DQ641691,Complete genome,KuMV
Leonurus mosaic virus,Leonurus mosaic virus,Brasil/PR88/2008/Leonurus,DNA-A: JQ429791,Complete genome,LeMV/Le
Lindernia anagallis yellow vein virus,Lindernia anagallis yellow vein virus,Vietnam/Hanoi/2005,DNA-A: DQ641701,Complete genome,LaYVV
Lisianthus enation leaf curl virus,Lisianthus enation leaf curl virus,Taiwan-BG1-2015,DNA-A: LC091538,Complete genome,LELCV
Ludwigia yellow vein Vietnam virus,Ludwigia yellow vein Vietnam virus,Vietnam/Hochiminh/2005,DNA-A: DQ641699,Complete genome,LuYVVNV
Ludwigia yellow vein virus,Ludwigia yellow vein virus,China/Guangxi 37/2003,DNA-A: AJ965539,Complete genome,LuYVV
Luffa yellow mosaic virus,Luffa yellow mosaic virus,Vietnam,DNA-A: AF509739;DNA-B: AF509740,Complete genome,LYMV
Lycianthes yellow mosaic virus,Lycianthes yellow mosaic virus,China-GD-2015,DNA-A: KT582302;DNA-B: KT582303,Complete genome,LyYMV
Macroptilium bright mosaic virus,Macroptilium bright mosaic virus,Brazil-ALM33_5B-2014,DNA-A: KX691400,Complete genome,MacBMV
Macroptilium common mosaic virus,Macroptilium common mosaic virus,Brazil-ALM2_5B-09,DNA-A: KX691396;DNA-B: KX691412,Complete genome,MacCMV
Macroptilium golden mosaic virus,Macroptilium golden mosaic virus,Jamaica/ Augusta Town/2004,DNA-A: EU158096;DNA-B: EU158097,Complete genome,MacGMV
Macroptilium mosaic Puerto Rico virus,Macroptilium mosaic Puerto Rico virus,Puerto Rico/1990,DNA-A: AY044133;DNA-B: AY044134,Complete genome,MacMPRV
Macroptilium yellow mosaic Florida virus,Macroptilium yellow mosaic Florida virus,United States/Florida/1985,DNA-A: AY044135;DNA-B: AY044136,Complete genome,MacYMFV
Macroptilium yellow mosaic virus,Macroptilium yellow mosaic virus,Jamaica/Mona/2006/Jamaica,DNA-A: EF585290;DNA-B: EF585291,Complete genome,MacYMV/JM
Macroptilium yellow mosaic virus,Macroptilium yellow mosaic virus,Cuba/Cuba,AJ344452,Complete genome,MacYMV/CU
Macroptilium yellow spot virus,Macroptilium yellow spot virus,Brazil/Agua das Flores 1/2010,DNA-A: JN419013,Complete genome,MacYSV
Macroptilium yellow vein virus,Macroptilium yellow vein virus,Brazil/Maceio 4/2010,DNA-A: JN419021,Complete genome,MacYVV
Malvastrum bright yellow mosaic virus,Malvastrum bright yellow mosaic virus,United States-Ma8S-2014,DNA-A: KU058856;DNA-B: KU058860,Complete genome,MaBYMV
Malvastrum leaf curl Philippines virus,Malvastrum leaf curl Philippines virus,Philippines/Mc1/2012,DNA-A: KC577540,Complete genome,MaLCPHV
Malvastrum leaf curl virus,Malvastrum leaf curl virus,China/Guangxi 87/2004,DNA-A: AJ971263,Complete genome,MaLCuV
Malvastrum yellow mosaic Helshire virus,Malvastrum yellow mosaic Helshire virus,Jamaica/2005,DNA-A: FJ600483,Complete genome,MaYMHeV
Malvastrum yellow mosaic Jamaica virus,Malvastrum yellow mosaic Jamaica virus,Jamaica/179A73/2003,DNA-A: FJ601917;DNA-B: FJ600484,Complete genome,MaYMJV
Malvastrum yellow mosaic virus,Malvastrum yellow mosaic virus,China/Hainan 36/2004,DNA-A: AM236755,Complete genome,MaYMV
Malvastrum yellow vein Cambodia virus,Malvastrum yellow vein Cambodia virus,Cambodia-08-2014,DNA-A: KP188831,Complete genome,MaYVCV
Malvastrum yellow vein Honghe virus,Malvastrum yellow vein Honghe virus,China/Yunnan 249/2004,DNA-A: FN552749,Complete genome,MaYVHV
Malvastrum yellow vein Lahore virus,Malvastrum yellow vein Lahore virus,PK-Lah-J47-13,MF683828,Complete genome,MalYVLahV
Malvastrum yellow vein virus,Malvastrum yellow vein virus,China/Yunnan 47/2001,AJ457824,Complete genome,MaYVV
Malvastrum yellow vein virus,Malvastrum yellow vein virus,China/Yunnan 278/2004/A,DNA-A: FN386459,Complete genome,MaYVV/A
Malvastrum yellow vein virus,Malvastrum yellow vein virus,China/Yunnan 340/Sida/2008/B,DNA-A: FN806779,Complete genome,MaYVV/C
Malvastrum yellow vein Yunnan virus,Malvastrum yellow vein Yunnan virus,China/Yunnan 160/2003,AJ786711,Complete genome,MaYVYnV
Melochia mosaic virus,Melochia mosaic virus,Brazil-CorB25-2014,DNA-A: KT201151;DNA-B: KT201152,Complete genome,MelMV
Melochia yellow mosaic virus,Melochia yellow mosaic virus,Brazil-CorB26-2014,DNA-A: KT201153;DNA-B: KT201154,Complete genome,MelYMV
Melon chlorotic leaf curl virus,melon chlorotic leaf curl virus,Costa Rica/Guanacaste/1998/Costa Rica,DNA-A: AY064391;DNA-B: AF440790,Complete genome,MCLCuV/CR
Melon chlorotic leaf curl virus,melon chlorotic leaf curl virus,Costa Rica/Cucurbita/2A/2003,DNA-A: KC153490,Partial genome,MCLCuV
Melon chlorotic leaf curl virus,melon chlorotic leaf curl virus,Guatemala/2000/Guatemala,DNA-A: AF325497;DNA-B: AF325498,Complete genome,MCLCuV/GT
Melon chlorotic mosaic virus,melon chlorotic mosaic virus,Venezuela/Watermelon/2009,DNA-A: HM163576;DNA-B: HM163577,Complete genome,MClMV
Melon yellow mosaic virus,melon yellow mosaic virus,TH-Me-MS-9-15,MH665365,Complete genome,MeYMV
Merremia mosaic Puerto Rico virus,Merremia mosaic Puerto Rico virus,Puerto Rico/89/1998,DNA-A: FJ944021;DNA-B: FJ944022,Complete genome,MerMPRV
Merremia mosaic virus,Merremia mosaic virus,Puerto Rico/Puerto Rico,DNA-A: AF068636;DNA-B: AY965899,Complete genome,MerMV/PR
Merremia mosaic virus,Merremia mosaic virus,Venezuela/Trujillo/Venezuela,DNA-A: AY508991;DNA-B: AY508992,Complete genome,MerMV/VE
Mesta yellow vein mosaic Bahraich virus,Mesta yellow vein mosaic Bahraich virus,India/Bahraich/2007,DNA-A: EU360303,Complete genome,MeYVMBaV
Mimosa yellow leaf curl virus,Mimosa yellow leaf curl virus,Vietnam/Binhduong/2005,DNA-A: DQ641695,Complete genome,MiYLCV
Mirabilis leaf curl virus,Mirabilis leaf curl virus,India-Pragpur-2013,LK054801,Complete genome,MirLCV
Mungbean yellow mosaic India virus,mungbean yellow mosaic India virus,India/New Delhi/Blackgram 3/1991,DNA-A: AF126406;DNA-B: AF142440,Complete genome,MYMIV
Mungbean yellow mosaic virus,mungbean yellow mosaic virus,Thailand/Mungbean 2,DNA-A: D14703;DNA-B: D14704,Complete genome,MYMV
Ocimum golden mosaic virus,Ocimum golden mosaic virus,UG-UG31-2015,DNA-A: MN313661;DNA-B: MN313660,Complete genome,OcGMV
Ocimum mosaic virus,Ocimum mosaic virus,UG-UG31-2015,DNA-A: MN313669;DNA-B: MN313668,Complete genome,OcMV
Ocimum yellow vein virus,Ocimum yellow vein virus,UG-UG14-2015,DNA-A: MN313667;DNA-B: MN313666,Complete genome,OcYVV
Okra enation leaf curl virus,okra enation leaf curl virus,India/Sonipat EL10/2006,DNA-A: GU111998,Complete genome,OELCuV
Okra leaf curl Oman virus,okra leaf curl Oman virus,Oman-OK2-2012,HE862273,Complete genome,OLCOV
Okra mottle virus,okra mottle virus,Brazil/6319/2008,DNA-A: EU914817;DNA-B: EU914818,Complete genome,OMoV
Okra yellow crinkle virus,okra yellow crinkle virus,Mali/Bamako 2/2005/Mali,DNA-A: DQ875879,Complete genome,OYCrV/ML
Okra yellow crinkle virus,okra yellow crinkle virus,Cameroon/Muea/2008/Cameroon,FM210275,Complete genome,OYCrV/CM
Okra yellow crinkle virus,okra yellow crinkle virus,Cameroon/Njombe 5/2007,HE793424,Complete genome,OYCrV
Okra yellow mosaic Mexico virus,okra yellow mosaic Mexico virus,Mexico/Mazatepec 3/2004,DNA-A: DQ022611;DNA-B: GU972604,Complete genome,OYMV
Oxalis yellow vein virus,Oxalis yellow vein virus,United States-LA01-2012,DNA-A: KM887907,Complete genome,OxYVV
Papaya leaf crumple virus,papaya leaf crumple virus,India/Panipat/2008,DNA-A: HM140367,Complete genome,PaLCrV
Papaya leaf curl China virus,papaya leaf curl China virus,China/Guangxi 8/Ageratum/2002/Tomato,DNA-A: AJ558124,Complete genome,PaLCuCNV/To
Papaya leaf curl China virus,papaya leaf curl China virus,China/Guangxi 10/Ageratum/2002/Ageratum,DNA-A: AJ558125,Complete genome,PaLCuCNV/Age
Papaya leaf curl China virus,papaya leaf curl China virus,China/Hainan/HK7/2008,FN256261,Complete genome,PaLCuCNV
Papaya leaf curl China virus,papaya leaf curl China virus,China/Guangxi 4/Tomato/2008/Guangxi,FN297834,Complete genome,PaLCuCNV/Gx
Papaya leaf curl China virus,papaya leaf curl China virus,China/Guangxi 30/Tomato/2002/Papaya,DNA-A: AJ558117,Complete genome,PaLCuCNV/Pap
Papaya leaf curl China virus,papaya leaf curl China virus,Vietnam/Hanoi 112/2007/Vietnam,DNA-A: GQ373254,Complete genome,PaLCuCNV/VN
Papaya leaf curl Guandong virus,papaya leaf curl Guandong virus,China/Guangdong 2/2002,DNA-A: AJ558122,Complete genome,PaLCuGdV
Papaya leaf curl virus,papaya leaf curl virus,India/Lucknow/Lucknow,Y15934,Complete genome,PaLCuV/Luc
Papaya leaf curl virus,papaya leaf curl virus,India/WB/Cr/Croton/2008/A,JN817517,Complete genome,PaLCuV/A
Papaya leaf curl virus,papaya leaf curl virus,India/Lucknow/Amaranthus/2011/Amaranthus,DNA-A: JN135233,Complete genome,PaLCuV/Ama
Papaya leaf curl virus,papaya leaf curl virus,India/Lucknow/Aster/2011/Aster,DNA-A: JQ954859,Complete genome,PaLCuV/Ast
Papaya leaf curl virus,papaya leaf curl virus,India/PaND13/2012/Cirica,KF307208,Complete genome,PaLCuV/Cir
Papaya leaf curl virus,papaya leaf curl virus,India/Pataudi/Radish/2009/India,DNA-A: FJ593629,Complete genome,PaLCuV/IN
Papaya leaf curl virus,papaya leaf curl virus,Pakistan/Lahore/HYDNA/Alcea rosea/2006/Lahore,FN678906,Complete genome,PaLCuV/Lah
Papaya leaf curl virus,papaya leaf curl virus,Pakistan/Cotton/2002/Pakistan,AJ436992,Complete genome,PaLCuV/PK
Papaya leaf curl virus,papaya leaf curl virus,Pakistan/Punjab/Cro/2006/Punjab,FN543112,Complete genome,PaLCuV/Pun
Papaya leaf curl virus,papaya leaf curl virus,Pakistan/Mianwali/Rhynchosia capitata/2007/Rhyncosia,FM955601,Complete genome,PaLCuV/Rh
Papaya leaf curl virus,papaya leaf curl virus,India/Sikar/Calotropis procera/2010/Sikar,JQ407224,Complete genome,PaLCuV/Sik
Papaya leaf curl virus,papaya leaf curl virus,India/Lucknow/Soybean/2011/Soybean,DNA-A: JN807765,Complete genome,PaLCuV/Soy
Papaya leaf curl virus,papaya leaf curl virus,India/Lucknow/Nicotiana glutinosa/2010/Tobacco,DNA-A: HM143914,Complete genome,PaLCuV/Tob
Papaya leaf curl virus,papaya leaf curl virus,India/CTM/Tomato/2005/Tomato,DNA-A: DQ629102,Complete genome,PaLCuV/Tom
Papaya severe leaf curl virus 1,papaya severe leaf curl virus 1,IN-PSB_8-14,MH988457,Complete genome,PaSLCV1
Papaya severe leaf curl virus 2,papaya severe leaf curl virus 2,IN-PSB_14-14,MH988458,Complete genome,PaSLCV2
Papaya yellow leaf curl virus,papaya yellow leaf curl virus,IN-PSB_51-16,MH807204,Complete genome,PaYLCV
Passionfruit leaf curl virus,passionfruit leaf curl virus,IN-Kar-Fb-2018,MK087124,Complete genome,PLCV
Passionfruit leaf distortion virus,passionfruit leaf distortion virus,Colombia-Valle-2014,DNA-A: KT899302;DNA-B: KT899303,Complete genome,PLDV
Passionfruit severe leaf distortion virus,passionfruit severe leaf distortion virus,Brazil/LSN 2/2001,DNA-A: FJ972767;DNA-B: FJ972768,Complete genome,PSLDV
Pavonia mosaic virus,Pavonia mosaic virus,Brazil-Cor40-2014,DNA-A: KT948785;DNA-B: KT948786,Complete genome,PavMV
Pavonia yellow mosaic virus,Pavonia yellow mosaic virus,Brazil-Alb51-2014,DNA-A: KT948787;DNA-B: KT948788,Complete genome,PavYMV
Pea leaf distortion virus,pea leaf distortion virus,Nepal-N36_41-2010,DNA-A: KY001635,Complete genome,PeLDV
Pedilanthus leaf curl virus,Pedilenthus leaf curl virus,Pakistan/Multan/2006,AM712436,Complete genome,PeLCV
Pedilanthus leaf curl virus,Pedilenthus leaf curl virus,Pakistan/Rahim Yar Khan 1/Tomato/2004/Euphorbia,DNA-A: DQ116884,Complete genome,PeLCV/Eu
Pedilanthus leaf curl virus,Pedilenthus leaf curl virus,Pakistan/Nawab Shah/Soybean/2009/Soybean,AM948961,Complete genome,PeLCV/Sb
Pepper blistering leaf virus,pepper blistering leaf virus,AR-Salta-Oran-Pepper663-2014,DNA-A: MN518737;DNA-B: MN518739,Complete genome,PepBLV
Pepper golden mosaic virus,pepper golden mosaic virus,Mexico/Tamaulipas/Tamaulipas,DNA-A: U57457;DNA-B: AF499442,Complete genome,PepGMV/Tam
Pepper golden mosaic virus,pepper golden mosaic virus,Costa Rica/Costa Rica,AF149227,Complete genome,PepGMV/CR
Pepper golden mosaic virus,pepper golden mosaic virus,Costa Rica/Llano Grande/2008,JQ743486,Complete genome,PepGMV
Pepper huasteco yellow vein virus,pepper huasteco yellow vein virus,Mexico/Tamaulipas,DNA-A: X70418;DNA-B: X70419,Complete genome,PHYVV
Pepper leaf curl Bangladesh virus,pepper leaf curl Bangladesh virus,Bangladesh/Bogra/1999/Bangladesh,DNA-A: AF314531,Complete genome,PepLCBV/BD
Pepper leaf curl Bangladesh virus,pepper leaf curl Bangladesh virus,Pakistan/Lahore/2004,DNA-A: AM404179,Complete genome,PepLCBV
Pepper leaf curl Bangladesh virus,pepper leaf curl Bangladesh virus,India/Coimbatore/2008/India,DNA-A: HM007096,Complete genome,PepLCBV/IN
Pepper leaf curl Bangladesh virus,pepper leaf curl Bangladesh virus,Pakistan/Khanewal/2004/Pakistan,DNA-A: DQ116881,Complete genome,PepLCBV/PK
Pepper leaf curl Lahore virus,pepper leaf curl Lahore virus,India/Lucknow/2011,DNA-A: JN135234,Complete genome,PepLCLaV
Pepper leaf curl virus,pepper leaf curl virus,Thailand/Thailand,AF134484,Complete genome,PepLCV/TH
Pepper leaf curl virus,pepper leaf curl virus,Malaysia/Klang/1997/Malaysia,DNA-A: AF414287,Complete genome,PepLCV/MY
Pepper leaf curl Yunnan virus,pepper leaf curl Yunnan virus,China/Yunnan323/2007,EU585781,Complete genome,PepLCYnV
Pepper leafroll virus,pepper leafroll virus,PE-P107-pep-09,DNA-A: KC769819;DNA-B: KC769820,Complete genome,PepLRV
Pepper yellow leaf curl Aceh virus,pepper yellow leaf curl Aceh virus,ID-BAPep-V2-17,DNA-A: LC387327;DNA-B: LC387329,Complete genome,PepYLCAV
Pepper yellow leaf curl Indonesia virus,pepper yellow leaf curl Indonesia virus,Indonesia/2005,DNA-A: AB267834;DNA-B: AB267835,Complete genome,PepYLCIV
Pepper yellow leaf curl Indonesia virus 2,pepper yellow leaf curl Indonesia virus 2,ID-PSSWS14-09,KT809345,Complete genome,PepYLCV2
Pepper yellow leaf curl Thailand virus,pepper yellow leaf curl Thailand virus,Thailand-WF_SPN_Pep-2015,DNA-A: KX943290,Complete genome,PepYLCTHV
Pepper yellow leaf curl virus,pepper yellow leaf curl virus,China/YN65/1/2010,KC149938,Complete genome,PepYLCV
Pepper yellow vein Mali virus,pepper yellow vein Mali virus,Mali,AY502935,Complete genome,PepYVMLV
Polygala garcinii virus,Polygala garcinii virus,ZA-1-1-12,MG001959,Complete genome,PgV
Potato yellow mosaic Panama virus,potato yellow mosaic Panama virus,Panama/Divisa/Tomato/1996,DNA-A: Y15034;DNA-B: Y15033,Complete genome,PYMPV
Potato yellow mosaic virus,potato yellow mosaic virus,Venezuela/1991/Potato,DNA-A: D00940;DNA-B: D00941,Complete genome,PYMV/Po
Potato yellow mosaic virus,potato yellow mosaic virus,Trinidad and Tobago/Tomato/1996,DNA-A: AF039031;DNA-B: AF039032,Complete genome,PYMV
Potato yellow mosaic virus,potato yellow mosaic virus,Puerto Rico/Tomato/2004/Tomato,DNA-A: AY965897,Complete genome,PYMV/To
Potato yellow mosaic virus,potato yellow mosaic virus,Colombia/Valle del Cauca/Tomato/2007/Colombia,DNA-A: EU518935,Complete genome,PYMV/Co
Pouzolzia golden mosaic virus,Pouzolzia golden mosaic virus,China/TY01/2012,DNA-A: JX183732,Complete genome,PouGMV
Pouzolzia mosaic Guangdong virus,Pouzolzia mosaic Guangdong virus,Taiwan/Miaoli/ML13W1/2013,DNA-A: KF414123,Complete genome,PouMGDV
Pouzolzia yellow mosaic virus,Pouzolzia yellow mosaic virus,TW-ML13W1-13,KF927128,Complete genome,PouYMV
Premna leaf curl virus,Premna leaf curl virus,Vietnam/VN7/2011,DNA-A: JQ793786,Complete genome,PreLCV
Pumpkin yellow mosaic virus,pumpkin yellow mosaic virus,Malaysia/Negeri Sambilan/2001,DNA-A: EF197941,Complete genome,PuYMV
Ramie mosaic Yunnan virus,ramie mosaic Yunnan virus,China-4819_5-2015,DNA-A: KU522485,Complete genome,RMYnV
Rhynchosia golden mosaic Havana virus,Rhynchosia golden mosaic Havana virus,Cuba/Havana/2007,DNA-A: HM236368;DNA-B: HM236369,Complete genome,RhGMHaV
Rhynchosia golden mosaic Sinaloa virus,Rhynchosia golden mosaic Sinaloa virus,Mexico/Sinaloa/2005,DNA-A: DQ406672;DNA-B: DQ406673,Complete genome,CabLCV
Rhynchosia golden mosaic virus,Rhynchosia golden mosaic virus,Mexico/Sinaloa/2005/Mexico,DNA-A: DQ347950;DNA-B: EU339937,Complete genome,RhGMV/MX
Rhynchosia golden mosaic virus,Rhynchosia golden mosaic virus,Mexico/Chiapas/Tobacco/Tobacco,DNA-A: AF408199,Partial genome,RhGMV/Tob
Rhynchosia golden mosaic virus,Rhynchosia golden mosaic virus,Mexico/Sinaloa 4/Soybean/2007/Soybean,DNA-A: EU339936;DNA-B: DQ356429,Complete genome,RhGMV/Sb
Rhynchosia mild mosaic virus,Rhynchosia mild mosaic virus,Puerto Rico/PR79/1997,DNA-A: FJ944019;DNA-B: FJ944020,Complete genome,RhMMV
Rhynchosia rugose golden mosaic virus,Rhynchosia rugose golden mosaic virus,Cuba/Camaguey/2009,DNA-A: HM236370;DNA-B: HM236371,Complete genome,RhRGMV
Rhynchosia yellow mosaic India virus,Rhynchosia yellow mosaic India virus,India/Thiruvananthapuram/JRH1/2009,DNA-A: HM777508;DNA-B: HM777510,Complete genome,RhYMIV
Rhynchosia yellow mosaic virus,Rhynchosia yellow mosaic virus,Pakistan/Lahore33/2007,DNA-A: AM999981;DNA-B: AM999982,Complete genome,RhYMV
Rose leaf curl virus,rose leaf curl virus,India/Rajasthan/Sikar AS24/2014,KJ739692,Complete genome,RoLCuV
Sauropus leaf curl virus,Sauropus leaf curl virus,Thailand/Kamphaengsaen/AFSP5e/2010,DNA-A: JN809819,Complete genome,SauLCuV
Senecio yellow mosaic virus,Senecio yellow mosaic virus,China/Guangxi 46/2003,AJ876550,Complete genome,SeYMV
Senna leaf curl virus,Senna leaf curl virus,India-Mohali-2013,KU852742,Complete genome,SenLCuV
Sida angular mosaic virus,Sida angular mosaic virus,Brazil-ALS30_4C-2014,DNA-A: KX691407;DNA-B: KX691415,Complete genome,SiAMV
Sida bright yellow mosaic virus,Sida bright yellow mosaic virus,Brazil-Tac720-2010,DNA-A: KX348184;DNA-B: KX348225,Complete genome,SiBYMV
Sida chlorotic leaf virus,Sida chlorotic leaf virus,MX-Colima-18,DNA-A: MN013784;DNA-B: MN013785,Complete genome,SiChLV
Sida chlorotic mottle virus,Sida chlorotic mottle virus,Brazil-Trm531.1-2010,DNA-A: KX348183,Complete genome,SiCMoV
Sida chlorotic vein virus,Sida chlorotic vein virus,Brazil-BALS15_2C-2008,DNA-A: KX691402;DNA-B: KX691413,Complete genome,SiCVV
Sida ciliaris golden mosaic virus,Sida ciliaris golden mosaic virus,Venezuela/Lara/M3/2009,DNA-A: JX857691;DNA-B: JX857692,Complete genome,SicGMV
Sida common mosaic virus,Sida common mosaic virus,Brazil/Coimbra 4/2007,EU710751,Complete genome,SiCMV
Sida golden mosaic Braco virus,Sida golden mosaic Braco virus,Jamaica/Liguanea/A4/2008,JX162595,Complete genome,SiGMBcV
Sida golden mosaic Brazil virus,Sida golden mosaic Brazil virus,Brazil/Mato Grosso do Sul/2007,DNA-A: FN436001,Complete genome,SiGMBRV
Sida golden mosaic Buckup virus,Sida golden mosaic Buckup virus,Jamaica/St Elizabeth 1/2004,DNA-A: HQ008338;DNA-B: HQ009518,Complete genome,SiGMBuV
Sida golden mosaic Costa Rica virus,Sida golden mosaic Costa Rica virus,Costa Rica,DNA-A: X99550;DNA-B: X99551,Complete genome,SiGMCRV
Sida golden mosaic Florida virus,Sida golden mosaic Florida virus,Cuba/Havana/Malvastrum/111/2009/Florida,DNA-A: HM003779;DNA-B: HM003778,Complete genome,SiGMFlV/Malv
Sida golden mosaic Florida virus,Sida golden mosaic Florida virus,United States/Homestead/A1,U77963,Complete genome,SiGMFlV
Sida golden mosaic Lara virus,Sida golden mosaic Lara virus,Venezuela/Lara/M1/2009,DNA-A: JX857693,Complete genome,SiGMLaV
Sida golden mosaic virus,Sida golden mosaic virus,United States/Florida,DNA-A: AF049336;DNA-B: AF039841,Complete genome,SiGMV
Sida golden mottle virus,Sida golden mottle virus,United States/Florida/Bradenton/1997,DNA-A: GU997691;DNA-B: GU997692,Complete genome,SiGMoV
Sida golden yellow spot virus,Sida golden yellow spot virus,Brazil-Sab889-2010,KX348185,Complete genome,SiGYSV
Sida golden yellow vein virus,Sida golden yellow vein virus,United States/Homestead/A11,U77964,Complete genome,SiGYVV
Sida interveinal bright yellow virus,Sida interveinal bright yellow virus,MX- Conca 1-18,DNA-A: MN746033;DNA-B: MN419243,Complete genome,SiIBYV
Sida leaf curl virus,Sida leaf curl virus,China/Hainan 57/2004,AM050730,Complete genome,SiLCuV
Sida micrantha mosaic virus,Sida micrantha mosaic virus,Brazil/A2B2,DNA-A: AJ557451;DNA-B: AJ557453,Complete genome,SiMMV
Sida micrantha mosaic virus,Sida micrantha mosaic virus,Bolivia/Cerro Fraile 2/2007/Rhombifolia,DNA-A: HM585439,Complete genome,SiMMV/Rho
Sida micrantha mosaic virus,Sida micrantha mosaic virus,BR/GO/Luziania 780/2003/Santaremensi,DNA-A: JX415187,Complete genome,SiMMV/San
Sida mosaic Alagoas virus,Sida mosaic Alagoas virus,Brazil/BgV02A1C59,DNA-A: JF694471;DNA-B: JF694473,Complete genome,SiMALV
Sida mosaic Bolivia virus 1,Sida mosaic Bolivia virus 1,Bolivia/Sida micrantha/2007,DNA-A: HM585441;DNA-B: HM585442,Complete genome,SiMBoV1
Sida mosaic Bolivia virus 2,Sida mosaic Bolivia virus 2,Bolivia/Sida micrantha/2007,DNA-A: HM585443;DNA-B: HM585444,Complete genome,SiMBoV2
Sida mosaic Sinaloa virus,Sida mosaic Sinaloa virus,Mexico/Guasave/2006,DNA-A: DQ520944;DNA-B: DQ356428,Complete genome,SiMSiV
Sida mottle Alagoas virus,Sida mottle Alagoas virus,BR/Alagoas/Vicosa 2/2010,DNA-A: JX871385,Complete genome,SiMoAV
Sida mottle virus,Sida mottle virus,Brazil/A1B3/Micrantha,DNA-A: AJ557450;DNA-B: AJ557454,Complete genome,SiMoV/Mic
Sida mottle virus,Sida mottle virus,Brazil/Vicosa 1/1999/Rhombifolia,DNA-A: AY090555,Complete genome,SiMoV/Rho
Sida yellow blotch virus,Sida yellow blotch virus,Brazil/Rio Largo 1/2010,DNA-A: JX871380,Complete genome,SiYBV
Sida yellow golden mosaic virus,Sida yellow golden mosaic virus,BR-SPI15-15,DNA-A: MF163258;DNA-B: MF163259,Complete genome,SiYGMV
Sida yellow leaf curl virus,Sida yellow leaf curl virus,Brazil/Coimbra3/2007,DNA-A: EU710750,Complete genome,SiYLCV
Sida yellow mosaic Alagoas virus,Sida yellow mosaic Alagoas virus,Brazil/Alagoas/Vicosa 3/2010,DNA-A: JX871383,Complete genome,SiYMAV
Sida yellow mosaic China virus,Sida yellow mosaic China virus,China/Hainan 7/Ageratum/2003,AM048837,Complete genome,SiYMCNV
Sida yellow mosaic virus,Sida yellow mosaic virus,Brazil/Vicosa 2/1999,DNA-A: AY090558,Complete genome,SiYMV
Sida yellow mosaic Yucatan virus,Sida yellow mosaic Yucatan virus,Mexico/Yucatan/2005,DNA-A: DQ875872;DNA-B: DQ875873,Complete genome,SiYMYuV
Sida yellow mottle virus,Sida yellow mottle virus,Cuba/Sancti Spiritus159/1/2009,DNA-A: JN411687;DNA-B: JN411688,Complete genome,SiYMoV
Sida yellow net virus,Sida yellow net virus,Brazil/Vicosa2/2010,DNA-A: JX871376,Complete genome,SiYNV
Sida yellow vein Vietnam virus,Sida yellow vein Vietnam virus,Vietnam/Hanoi/2005,DNA-A: DQ641696,Complete genome,SiYVVV
Sida yellow vein virus,Sida yellow vein virus,Honduras/yellow vein,DNA-A: Y11099;DNA-B: Y11100,Complete genome,SiYVV
